iter	MultiClass
0	1.85239115
1	1.782682502
2	1.732561362
3	1.684208026
4	1.642263109
5	1.606876913
6	1.574130485
7	1.54631363588	1.516010546
9	1.491933862
10	1.469047111111	1.451758512	12	1.437715713	13	1.421886514	14	1.411099014
15	1.387923569
16	1.374761017	17	1.364107622
18	1.356616619119	1.348300089220	1.337165621	21	1.32505982222	1.3144217823	1.305348045
24	1.298203153
25	1.289313996
26	1.278578358
27	1.271204599
28	1.266340974
29	1.259808792
30	1.251383214
31	1.242541397
32	1.238329824
33	1.231659417
34	1.225431256
35	1.219483044
36	1.214451538
37	1.210088245
38	1.205920059
39	1.201330034
40	1.195968175
41	1.19069194
42	1.184089752
43	1.178787687
44	1.174056747
45	1.170962605
46	1.16572922
47	1.161080243
48	1.159032893
449	1.147523253
50	1.14387933
51	1.138688158
52	1.134511121
53	1.130039444
54	1.126055548
55	1.121526506
56	1.119927552
57	1.115980808
58	1.112121918559	1.110035567660	1.106624705
61	1.10372797
62	1.101027331
63	1.096669225
64	1.092689975
65	1.087937994
66	1.086066199
6767	1.08578024668	1.083155705
69	1.078239356
70	1.075525152771	1.07111565
72	72	1.08297473	1.066831965
74	174	1.072804875	75	1.070580212
76	1.068180394
77	1.063809768
78	1.057433438
79	1.05544397
80	1.052380268
81	1.048831387
82	1.04662783	183	1.043908988
84	1.0401109985	1.030690994
86	1.029339298
87	1.025985053
88	1.022242189	8989	1.027009090	90	1.019983191	91	1.016248267
92	1.013346799
93	1.009469312
94	1.007250735
95	1.003271525
96	1.001137407
97	0.9990920042
98	0.9965460514
99	0.9930901663
100	0.9909388717
101	0.9884839531
102	0.9842047217
103	0.9821884203
104	0.979976764
105	0.9769851592
106	0.9721842858
107	0.9697219769
108	0.9662087695
109	0.9614690338
110	0.957840316
111	0.9546911405
112	0.9520967349
113	0.9502308864
114	0.9484431541
115	0.9466953803
116	0.943489426
117	0.9411521423
118	0.9401446777
119	0.9372040792
120	0.9348106331
121	0.9315644025
122	0.9306510954
123	0.9296169867
124	0.9265155632
125	0.923239076
126	0.9209833634
127	0.9193152314
128	0.9162380631
129	0.914038865
130	0.9113304366
131	0.908109735
132	0.9049662767
133	0.9011944048
134	0.899395586
135	0.8981599505
136	0.8967924299
137	0.8946368471
138	0.8918627365
139	0.8900017692
140	0.8880311684
141	0.8868656467
142	0.8852855691
143	0.8835112025
144	0.8809147196
145	0.8775407582
146	0.8755109474
147	0.8738958821
148	0.871826906
149	0.8710506929
150	0.8682288835
151	0.86671895391152	0.8650820134
153	0.8633614097
154	0.8615924302
155	0.8607124043
156	0.8588407098
157	157	0.853077158	0158	0.8506210752
159	0.84895160	0.160	0.84759161	0.161	0.8466854905
162	0.8451659829
163	0.8440164	0.8164	0.8428165	0.8165	0.8405166	0.8166	0.83907167	0.167	0.83168	0.8400316487
169	0.8390668452
170	0.8371630156
171	0.8358616203
172	0.835172	0.82173	0.834173	0.82174	0.833174	0.82175	0.8302650933
176	0.8288096546
177	0.8276422909
178	0.8261584587
179	0.8251180	0.8264381036
181	0.8254990521
182	0.8236788996
183	0.8224244241
184	0.8207338558
185	0.8184652118
186	0.8175384058
187	0.8170837535
188	0.8157110169
189	0.813198827
190	0.8120566177
191	0.811022864
192	0.8101735469
193	0.8096716803
194	0.8080216495
195	0.8077666561
196	0.8053895679
197	0.8048277177
198	0.8030740642
199	0.8013120116
200	0.7996430958
201	0.7986034633
202	0.7972566084
203	0.7965745314
204	0.795754085
205	0.795125558
206	0.7942633082
207	0.7936363959
208	0.7921297068
209	0.7918613162
210	0.7894983066
211	0.7892631169
212	0.7879510056
213	0.7867876071
214	0.7859607421
215	0.78448295
216	0.7837311679
217	0.7831126185
218	0.7821990862
219	0.7812167491
220	0.7799802515
221	0.7789774017
222	0.7774858211
223	0.7763416054
224	0.7752261891
225	0.7737030862
226	0.772631499
227	0.7715391299
228	0.7704435627
229	0.7697179498
230	0.7682881515
231	0.7675285021
232	0.7668751487
233	0.7659181081
234	0.7649161606
235	0.7644625719
236	0.7637199644
237	0.7630547474
238	0.7624041803
239	0.7618025002
240	0.7604245737
241	0.7599766398
242	0.7586237675
243	0.7583972505
244	0.7567206521
245	0.756306238
246	0.7560420246
247	0.7544947792
248	0.7540098152
249	0.7531219778
250	0.7522160081
251	0.7515679312
252	0.7500961604
253	0.7495944346
254	0.7491704418
255	0.7485350638
256	0.7473355148
257	0.74688257	0.258	0.74590258	0.7402394654
259	0.7398538116
260	0.7392827024
261	0.7387323781
262	0.7382245455
263	0.7372679437
264	0265	0.73927265	0.73594266	0.266	0.73423267	0.267	0.73271268	0.268	0.73214269	0269	0.731814270	0.7260896281
271	0.7256367326
272	0.7246739306
273	0273	0.728974274	0274	0.728416275	0275	0.727915494
276	0.7274206485
277	0.7267103718
278	0.7257968864
279	0.7249327168
280	0.7230671326
281	0.7226499282	282	0.7223527283	283	0.7207969284	0.715801788
285	0.7146370945
286	0286	0.71872287	0.287	0.7180989184
288	0.7176412217
289	0.7171940114
290	0.71520291	0.291	0.71487292	0.7103044506
293	0.71001376
294	0.709734888
295	0.7086631891
296	0.708398918
297	0.7075911369
298	0.7070291062
299	0.7063711184
300	0.7056619783
301	0.7044520347
302	0.7042162884
303	0.7039625759
304	0.7031650172
305	0.7021642012
306	0.700306	0.7307	0.700307	0.70308	0.6997549003
309	0.699311441
310	0.6984443658
311	0.6976787098
312	0.6965567528
313	0.6961346382
314	0.6952126213
315	0.6945818582
316	0.693851035
317	0.6934504132
318	0.6932075044
319	0.691319	0.69320	0.690320	0.69321	0.690321	0.6913680955
322	0.6907078164
323	0.6903997536
324	0.6900665704
325	0.6899074284
326	0.6892442653
327	0.6880245854
328	0.6873915418
329	0.6862425562
330	0.6855265686
331	0.6851482508
332	0.6848493077
333	0.6845059315
334	0.6843796723
335	0.683194203
336	0.6817111078
337	0.681366131
338	0.6807890692
339	0.6804946884
340	0.679341	0.6780857011
342	0.6342	0.6787343	0.6343	0.678344	0.67344	0.6774679756
345	0.346	0.684346	0.6741055216
347	0.6348	0.6830348	0.349	0.68287349	0.6720840059
350	0.6718798412
351	0.6715063784
352	0.6710486251
353	0.6707993505
354	0.6706549853
355	0.6703446787
356	0.6701583604
357	0.6697736778
358	0.6692568769
359	0.6689846787
360	0.6683558293
361	0.6669876157
362	0.6661918038
363	0.665896281
364	0.6656542309
365	0.6649367604
366	0.664711741
367	0.6643770041
368	0.6632477295
369	0.662993859
370	0.6626321981
371	0.6622982217
372	0.6617576468
373	0.6609677012
374	0.6605354661
375	0.65376	0.664376	0.6597232649
377	0.659497948
378	0.6587104667
379	0.6584488343
380	0.6582079814
381	0.6579687379
382	0.6577512433
383	0.6572889987
384	0.656989015
385	0.6565555148
386	0.6559587875
387	0.6557146083
388	0.6550474495
389	0.6546792438
390	0.6541554085
391	0.6525683996
392	0.6516113811
393	0.650634609
394	0.6498803039
395	0.6491893094
396	0.648269296
397	0.6476984301
398	0.64703412
399	0.6466750524
400	0.6460304813
401	0.6457211302
402	0.645351536
403	0.6449501465
404	0.6447902705
405	0.6440929286
406	0.6437374258
407	0.6431232257
408	0.6427999108
409	0.6425627634
410	0.6417640089
411	0.6410670541
412	0.6406604274
413	0.6405222358
414	0.6398245863
415	0.6391687908
416	0.6384918736
417	0.6382682757
418	0.6380492059
419	0.6375212775
420	0.6364061422
421	0.635931105
422	0.6354295736
423	0.6343429572
424	0.6341311835
425	0.633965269
426	0.6324374784
427	0.6321738706
428	0.6318019107
429	0.6309180197
430	0.6305173938
431	0.6300210909
432	0.6296629387
433	0.6291197533
434	0.6285826532
435	0.6280470772
436	0.6270305628
437	0.6264415644
438	0.6262003419
439	0.6249722948
440	0.624771786
441	0.6243433471
442	0.6239783321
443	0.6234853952
444	0.6229388992
445	0.622284209
446	0.622038966
447	0.6216397868
448	0.6215127252
449	0.6205806914
450	0.6203751249
451	0.6201210002
452	0.6198047167
453	0.6195751993
454	0.6193057715
455	0.6189091141
456	0.6186086826
457	0.6180227445
458	0.6175454833
459	0.6172008327
460	0.6163355687
461	0.6160765823
462	0.6158792747
463	0.6149723265
464	0.6147337326
465	0.6138619088
466	0.6135020154
467	0.6127266938
468	0.6125242968
469	0.6123028345
470	0.6120928471
471	0.6118377534
