iter	Passed	Remaining
0	426	425649
1	611	305153
2	834	277362
3	982	244721
4	1191	237164
5	1386	229629
6	1576	223611
7	1654	205171
8	1846	203325
9	2040	202026
10	2098	188688
11	2239	184357
12	2347	178193
13	2567	180852
14	2838	186379
15	2891	177814
16	2989	172870
17	3084	168272
18	3221	166344119	3347	164011220	3481	162289221	3571	15877622	3665	155702
223	4108	167088
24	4377	170739
25	4614	172878
26	4670	168295
27	4896	169977
28	5054	169227
29	5235	169287
30	5361	167580
31	5485	165942
32	5656	165756
33	5700	161968
34	5980	164898
35	6123	163970
36	6376	165955
37	6607	167285
38	6831	168342
39	6912	165891
40	7033	164510
41	7094	161816
42	7259	161561
43	7420	161227
44	7521	159613
45	7643	158516
46	7745	157055
47	7866	156014448	7893	15320149	8329	158257
50	8498	158142
51	8644	157587
52	8848	158107
53	8999	157659
54	9070	155848
55	9333	157334
56	9546	157930
57	9629	156397
58	9709	154862
59	9816	153796
60	10004	154001
61	10112	152995
62	10257	152564
63	10380	151811
64	10522	151367
65	10673	151066	66	10788	150267	10672	146273
68	10826	146072
69	10949	145472
70	11038	14471	171	11084	14272	11270	143114
73	173	73	11695	74	11739	144793
75	12144	147657
76	12218	146466
77	12404	146633
78	12623	147172
79	12826	147502
80	12911	146488
81	12999	145531
82	13122	144980
83	13305	145098
84	13422	144491
85	185	13352	14186	186	13479	14187	187	13718	14288	188	13848	14189	14092	142491
90	14413	143979
91	14583	143936
92	15027	146555
93	15103	145568
94	15224	145029
95	15408	145096
96	15555	144806
97	15838	145774
98	15951	145171
99	16042	144380
100	16260	144730
101	16339	143847
102	16414	142946
103	16522	142351
104	16683	142208
105	16750	141270
106	16857	140687
107	17184	141927
108	17415	142362
109	17469	141341
110	17634	141238
111	17962	142420
112	18061	141777
113	18200	141451
114	18381	141454
115	18527	141192
116	18644	140706
117	18787	140431
118	18893	139873
119	18920	138750
120	18991	137962
121	19297	138881
122	19376	138157
123	19611	138547
124	19759	138317
125	19794	137304
126	19993	137438
127	20018	136373
128	20201	136396
129	20222	135336
130	20302	134676
131	20429	134340
132	20661	134687
133	20874	134902
134	21011	134627
135	21063	133814
136	21201	133555
137	21426	133839
138	21606	133835
139	21832	134115
140	21978	133896
141	22082	133429
142	22212	133120
143	22412	133227
144	22556	133003
145	22677	132649
146	22928	133048
147	23075	132840
148	23097	131917
149	23212	131538
150	23354	131313
151	23450	130830
152	23609	130703
153	23762	130542
154	23934	130481
155	24029	1300015156	24170	12978157	24227	129110
158	24385	128982
159	24515	128704
160	24648	128448
161	24904	128828
162	25074	128755
163	25162	128269
164	25242	127740
165	25339	127308
166	25580	127597
167	25678	127169
16168	25900	1273516169	26030	1270817170	26175	1268917171	26324	12672172	26458	126479
173	26533	125959
174	26739	126056
17175	26905	1259617176	26962	125369
177	27100	125148
178	27280	125125
179	27323	12447180	27558	124697
181	27943	125591
182	28129	125584
183	28223	125165
184	28332	124814
185	28485	124663
186	28528	124031
187	28782	124314
188	28875	123905
189	29077	123962
190	29259	123932
191	29536	124299
192	29669	124058
193	29841	123981
194	29902	123443
195	30039	123224
196	30187	123047
197	30264	122584
198	30456	122591
199	30632	122529
200	30716	122101
201	30872	121961
202	31065	121965
203	31104	121367
204	31323	121472
205	31454	121239
206	31666	121310
207	31863	121325
208	32020	121188
209	32176	121043
210	32373	121057
211	32593	121151
212	32727	120922
213	32976	121118
214	33067	120734
215	33217	120568
216	33388	120475
217	33568	120415
218	33797	120527
219	33967	120430
220	34082	120135
221	34209	119888
222	34251	119343
223	34546	119678
224	34689	119485
225	34828	119279
226	34973	119094
227	35107	118871
228	35261	118718
229	35284	118127
230	35385	117798
231	35559	117713
232	35619	117252
233	35672	116774
234	35886	116821
235	36009	116573
236	36115	116269
237	36295	116205
238	36386	115859
239	36456	115447
240	36714	115629
241	36905	115597
242	37153	115741
243	37271	115481
244	37431	115350
245	37726	115634
246	37772	115153
247	37807	114643
248	37928	114395
249	38125	114375
250	38195	113979
251	38425	114056
252	38636	114077
253	38664	113558
254	38792	113335
255	38962	113233
256	39244	113456
257	39328257	3953258	39485258	39820	113927
259	40031	113935
260	40196	113814
261	40298	113511
262	40374	113141
263	40493	112889
264	4051265	40480265	40632	1121226266	40834	1121026267	40987	1119526268	41164	1118626269	41277	11160270	41287	111064
271	41444	110925
272	41683	111002
27273	41962	1111827274	42161	1111527275	42423	111285
276	42529	111005
277	42725	110963
278	42981	111074
279	43129	110905
280	43329	110867
281	43382	1104528282	43509	1102328283	43614	10995284	43731	109711
285	43826	109413
28286	44118	1096028287	44304	109530
288	44529	109551
289	44645	109304
290	44726	1089729291	44867	10878292	44818	108146
293	44916	107860
294	45097	107774
295	45252	107628
296	45412	107491
297	45513	107216
298	45588	106881
299	45723	106687
300	45943	106692
301	46031	106389
302	46187	106247
303	46297	105998
304	46366	105654
305	46445	105336
30306	46691	1053930307	46795	10513308	46848	104765
309	47071	104772
310	47238	104653
311	47408	104541
312	47611	104501
313	47704	104220
314	47744	103825
315	47903	103689
316	48114	103665
317	48271	103526
318	48312	103137
31319	48657	1033932320	48863	1033632321	49106	103397
322	49329	103393
323	49470	103215
324	49535	102881
325	49773	102905
326	49818	102531
327	49988	102416
328	50048	102074
329	50191	101903
330	50274	101613
331	50416	101441
332	50487	101125
333	50700	101097
334	50896	101033
335	51036	100858
336	51139	100609
337	51283	100443
338	51302	100032
339	51426	99828
340	51605	341	51530	99142
342	51342	51767	343	51343	52006	34345	344	52133	98346	52127	98095
347	52322	98028
348	52434	97807
349	52719	97907
350	52835	97692
351	53026	97616
352	53260	97618
353	53493	97617
354	53723	97610
355	53857	97427
356	53947	97166
357	54055	96937
358	54092	96582
359	54460	96819
360	54556	96569
361	54803	96587
362	54921	96377
363	55047	96181
364	55247	96115
365	55376	95924
366	55436	95617
367	55603	95492
368	55694	95239
369	55886	95158
370	55955	94868
371	56055	94631
372	56220	94505
373	56356	94328
374	56522	94203
375	56561	93868
376	56783	93836
377	56871	93581
378	57049	93476
379	57243	93396
380	57465	93362
381	57721	93382
382	57850	93194
383	58123	93239
384	58166	92915
385	58205	92586
386	58347	92421
387	58423	92152
388	58651	92123
389	58885	92103
390	58942	91805
391	59138	91725
392	59442	91810
393	59480	91484
394	59540	91195
395	59711	91075
396	59756	90763
397	59977	90720
398	60088	90509
399	60171	90257
400	60385	90201
401	60609	90160
402	60801	90070
403	60954	89923
404	61256	89993
405	61434	89881
406	61526	89644
407	61775	89634
408	61853	89377
409	62021	89250
410	62103	88999
411	62234	88820
412	62467	88784
413	62637	88660
414	62785	88505
415	62967	88397
416	63209	88372
417	63350	88205
418	63408	87923
419	63562	87777
420	63715	87627
421	63982	87635
422	64093	87428
423	64221	87243
424	64274	86959
425	64415	86794
426	64454	86492
427	64601	86336
428	64623	86014
429	64775	85864
430	64863	85632
431	64918	85355
432	65120	85273
433	65314	85179
434	65374	84911
435	65461	84678
436	65720	84670
437	65941	84609
438	66289	84711
439	66417	84531
440	66488	84278
441	66759	84279
442	66962	84194
443	67081	84002
444	67199	83810
445	67264	83552
446	67419	83407
447	67536	83214
448	67773	83169
449	67957	83059
450	67988	82761
451	68027	82475
452	68195	82346
453	68372	82227
454	68501	82051
455	68623	81866
456	68830	81783
457	68979	81630
458	69117	81465
459	69335	81394
460	69427	81174
461	69521	80958
462	69714	80856
463	69844	80681
464	70017	80557
465	70235	80484
466	70334	80274
467	70498	80139
468	70650	79990
469	70907	79959
470	71065	79817
471	71196	79643
472	71230	79363
473	71376	79206
474	71434	78954
475	71556	78772
476	71765	78686
477	71948	78571
478	72156	78483
479	72187	78203
480	72375	78093
481	72516	77932
482	72578	77687
483	72741	77551
484	72905	77415
485	73001	77207
486	73093	76995
487	73202	76802
488	73389	76690
489	73428	76426
490	73508	76202
491	73589	75982
492	73700	75793
493	73893	75688
494	73970	75464
495	73992	75186
496	74120	75015
497	74376	74974
498	74431	74729
499	74493	74493
500	74588	74291
501	74811	74215
502	74914	74020
503	75061	73869
504	75092	73605
505	75160	73377
506	75288	73209
507	75359	72985
508	75592	72919
509	75754	72783
510	75926	72657
511	76183	72612
512	76295	72428
513	76409	72247
514	76450	71997
515	76740	71981
516	76838	71785
517	76746	71412
518	76908	71277
519	77087	71157
520	77206	70982
521	77495	70963
522	77675	70843
523	77806	70679
524	77944	70520
525	78055	70338
526	78134	70128
527	78241	69943
528	78377	69783
529	78480	69595
530	78723	69531
531	78752	69278
532	78967	69188
533	79271	69177
534	79365	68980
535	79400	68734
536	79497	68542
537	79823	68547
538	80032	68450
539	80170	68293
540	80389	68204
541	80485	68012
542	80774	67981
543	80796	67726
544	81037	67654
545	81077	67415
546	81188	67236
547	81238	67006
548	81330	66812
549	81486	66671
550	81600	66495
551	81758	66354
552	81710	66048
553	81755	65817
554	81953	65710
555	82045	65518
556	82281	65441
557	82433	65296
558	82622	65181
559	82724	64997
560	82851	64833
561	82981	64672
562	83196	64576
563	83283	64382
564	83466	64261
565	83613	64113
566	83773	63974
567	83862	637568568	84008	63633
569	84419	63684
570	84732	63660
571	84801	63453
572	84934	63293
573	84949	63046
574	85340	63078
575	85493	62932
576	85583	62741
577	85773	62623
578	85806	62391
579	85830	62152
580	85859	61919
581	86030	61788
582	86115	61595
583	86169	613584584	86351	612585585	86535	61135
586	86604	60932
587	86704	607588588	86851	606589	87096	60524
590590	87103	602591591	87417	602592592	87481	600593593	87687	599594594	87861	598595595	88025	59667
596	88185	59528
597	88230	593598598	88328	591599599	88424	589600600	88633	588601	88774	58691
602602	88907	585603603	89066	583604604	89302	58304
605	89395	58121
606	89501	579607607	89617	57779
608	89840	57680
609	89896	57475
610	90110	57369
611	90256	57221
612	90490	57128
613	90681	57008
614	90714	56788
615	90890	56658
616	90977	564617617	91137	56334
618	91186	561619619	91382	560620620	91446	558621621	91769	55770
622	92058	55708
623	92291	55611
624	92310	55386
625	92408	55208
626	92597	55086
627	92656	548628628	92894	54791
629	93100	54677
630	93192	54497
631	93317	54336
632	93430	54168
633	93572	540634634	93708	538635635	93789	536636	94056	53598
637	94165	53429
638	94317	53284
639	94444	53124
640	94600	52982
641	94719	52818
642	94782	52624
643643	94794	524644644	94933	522645645	95153	521646646	95282	51985
647	95362	51801
648	95565	51684
649	95774	51570
650	95942	51434
651	95960	51218
652	96116	51075
653	96261	50927
654	96382	50766
655	96593	50652
656	96778	50525
657	96867	50347
658	96926	50154
659	97261	50104
660	97433	49969
661	97540	49801
662	97855	49739
663	97819	49498
664	98128	49433
665	98294	49294
666	98430	49141
667	98687	49048
668	98806	48886
669	98876	48700
670	99092	48586
671	99204	48421
672	99219	48209
673	99350	48053
674	99580	47946
675	99783	47825
676	99911	47668
677	99982	47484
678	100228	47383
679	100424	47258
680	100708	47174
681	100796	46999
682	100896	46828
683	101008	46664
684	101150	46514
685	101271	46354
686	101401	46198
687	101581	46066
688	101626	45872
689	101656	45671
690	101843	45542
691	101994	45396
692	102123	45240
693	102255	45086
694	102341	44912
695	102508	44774
696	102617	44609
697	102744	44453
698	102883	44303
699	103057	44167
700	103187	44012
701	103338	43867
702	103473	43714
703	103753	43623
704	103919	43484
705	104048	43328
706	104162	43167
707	104311	43021
708	104565	42917
709	104682	42757
710	104753	42579
711	104921	42439
712	105066	42291
713	105225	42148
714	105419	42020
715	105450	41826
716	105652	41700
717	105733	41527
718	105800	41349
719	105890	41179
720	105947	409977721	106120	40860722	106510	40807
7723	106510	406037724	106614	404397725	106896	403437726	107025	40189727	107385	40122
728	107526	39972
729	107757	39855
730	107940	39721
7731	107843	39483732	108171	39402
733	108277	39239
734	108714	39196
735	108738	39003
736	108775	38816
737	108875	38652
738	109140	38546
739	109293	38400
740	109325	38212
741	109481	38067
7742	109516	37881743	110069	37873
744	110132	37696
745	110267	37544
746	110384	37386
747	110598	37260
748	110635	37075
749	110683	36894
750	110860	36756
751	111029	36616
752	111205	36477
753	111242	36294
754	111270	36107
755	111432	35965
756	111561	35811
757	111913	35729
758	112112	35598
759	112242	35445
760	112422	35307
761	112587	35165
762	112685	35001
763	112772	34835
764	112920	34687
765	113081	34544
766	113199	34387
767	113375	34248
768	113522	34101
769	113728	33970
770	113852	33816
771	113989	33665
772	114127	33514
773	114320	33380
774	114487	33238
775	114607	33082
776	114809	32950
777	114978	32808
778	115148	32667
779	115286	32516
780	115400	32359
781	115617	32230
782	115830	32101
783	115869	31923
784	116024	31777
785	116294	31662
786	116435	31512
787	116605	31370
788	116788	31232
789	116844	31059
790	116969	30906
791	117120	30758
792	117395	30644
793	117506	30486
794	117766	30367
795	117899	30215
796	118109	30083
797	118238	29930
798	118461	29800
799	118548	29637
800	118743	29500
801	118803	29330
802	118867	29161
803	118976	29004
804	119171	28867
805	119420	28743
806	119561	28593
807	119702	28444
808	119890	28305
809	119993	28146
810	120236	28020
811	120406	27877
812	120477	27711
813	120558	27547
814	120648	27386
815	120798	27238
816	121051	27114
817	121241	26975
818	121309	26809
819	121461	26662
820	121674	26528
821	121817	26378
822	121963	26230
823	122049	26068
824	122125	25905
825	122339	25771
826	122417	25608
827	122549	25457
828	122722	25314
829	122927	25177
830	123034	25021
831	123198	24876
832	123505	24760
833	123627	24606
834	123740	24451
