,best_params
0,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 0.021157369830643164, 'min_samples_split': 0.19659449368869755, 'min_weight_fraction_leaf': 0.037633377867144165}"
1,"{'criterion': 'gini', 'max_depth': 81, 'max_features': None, 'min_samples_leaf': 0.021184880839212543, 'min_samples_split': 0.2832678124258333, 'min_weight_fraction_leaf': 0.1070498978962681}"
2,"{'criterion': 'gini', 'max_depth': 81, 'max_features': None, 'min_samples_leaf': 0.021803091064513648, 'min_samples_split': 0.35033556072121375, 'min_weight_fraction_leaf': 0.09312844294050292}"
3,"{'criterion': 'gini', 'max_depth': 81, 'max_features': None, 'min_samples_leaf': 0.046006329601779486, 'min_samples_split': 0.2282829416101588, 'min_weight_fraction_leaf': 0.09367242663147866}"
4,"{'criterion': 'gini', 'max_depth': 81, 'max_features': None, 'min_samples_leaf': 0.0007380079737776893, 'min_samples_split': 0.030276353871370842, 'min_weight_fraction_leaf': 0.0006490697595561493}"
5,"{'criterion': 'gini', 'max_depth': 36, 'max_features': None, 'min_samples_leaf': 0.1296057088555751, 'min_samples_split': 0.2360510126701627, 'min_weight_fraction_leaf': 0.07623426964971686}"
6,"{'criterion': 'gini', 'max_depth': 36, 'max_features': None, 'min_samples_leaf': 0.09580723024881935, 'min_samples_split': 0.0023872321250483315, 'min_weight_fraction_leaf': 0.1074679896258121}"
7,"{'criterion': 'gini', 'max_depth': 49, 'max_features': None, 'min_samples_leaf': 0.01993952364020396, 'min_samples_split': 0.09839584093211878, 'min_weight_fraction_leaf': 0.04050829734647572}"
8,"{'criterion': 'gini', 'max_depth': 64, 'max_features': None, 'min_samples_leaf': 0.12624986277130418, 'min_samples_split': 0.27714720514111335, 'min_weight_fraction_leaf': 0.1103424930467988}"
9,"{'criterion': 'gini', 'max_depth': 49, 'max_features': None, 'min_samples_leaf': 0.09433867564181947, 'min_samples_split': 0.24117557027178504, 'min_weight_fraction_leaf': 0.0134953688186642}"
10,"{'criterion': 'gini', 'max_depth': 49, 'max_features': None, 'min_samples_leaf': 0.04613789712129899, 'min_samples_split': 0.1834826118981284, 'min_weight_fraction_leaf': 0.07055632580051194}"
15,"{'criterion': 'gini', 'max_depth': 81, 'max_features': None, 'min_samples_leaf': 0.041857803243478514, 'min_samples_split': 0.013599744193943608, 'min_weight_fraction_leaf': 0.11406546880947044}"
20,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 0.11929810812097695, 'min_samples_split': 0.1251688935718998, 'min_weight_fraction_leaf': 0.06074648268301107}"
30,"{'criterion': 'gini', 'max_depth': 49, 'max_features': None, 'min_samples_leaf': 0.0016856936633933858, 'min_samples_split': 0.11366155924383474, 'min_weight_fraction_leaf': 0.13001253116801487}"
40,"{'criterion': 'gini', 'max_depth': 81, 'max_features': None, 'min_samples_leaf': 0.032027775116331564, 'min_samples_split': 0.08337313293401366, 'min_weight_fraction_leaf': 0.12564694594214856}"
50,"{'criterion': 'gini', 'max_depth': 81, 'max_features': None, 'min_samples_leaf': 0.07573522738831859, 'min_samples_split': 0.13798972608285018, 'min_weight_fraction_leaf': 0.12654655826455458}"
