,best_params
0,"{'criterion': 'gini', 'max_depth': 64, 'max_features': None, 'min_samples_leaf': 0.0014863277630354395, 'min_samples_split': 0.15132839251826324, 'min_weight_fraction_leaf': 0.040396590505200045}"
1,"{'criterion': 'gini', 'max_depth': 81, 'max_features': None, 'min_samples_leaf': 0.04794212229432355, 'min_samples_split': 0.041888288846963724, 'min_weight_fraction_leaf': 0.0006019702482386591}"
2,"{'criterion': 'gini', 'max_depth': 64, 'max_features': None, 'min_samples_leaf': 0.09809977679313492, 'min_samples_split': 0.17711755694544662, 'min_weight_fraction_leaf': 0.08684365604374354}"
3,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 0.04349176842741633, 'min_samples_split': 0.14609437777601114, 'min_weight_fraction_leaf': 0.0204476179018222}"
4,"{'criterion': 'gini', 'max_depth': 64, 'max_features': None, 'min_samples_leaf': 0.03404590335188137, 'min_samples_split': 0.16317318360614097, 'min_weight_fraction_leaf': 0.09547086088874632}"
5,"{'criterion': 'gini', 'max_depth': 49, 'max_features': None, 'min_samples_leaf': 0.0009798330196149618, 'min_samples_split': 0.10813616454808676, 'min_weight_fraction_leaf': 0.06536172559799494}"
6,"{'criterion': 'gini', 'max_depth': 81, 'max_features': None, 'min_samples_leaf': 0.046893931013441234, 'min_samples_split': 0.03194466746767491, 'min_weight_fraction_leaf': 0.11706684014274446}"
7,"{'criterion': 'gini', 'max_depth': 36, 'max_features': None, 'min_samples_leaf': 0.0021910899197817857, 'min_samples_split': 0.25017998592769697, 'min_weight_fraction_leaf': 0.08991348987999057}"
8,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 0.0424196107936462, 'min_samples_split': 0.21938189493352983, 'min_weight_fraction_leaf': 0.0786173083421059}"
9,"{'criterion': 'gini', 'max_depth': 25, 'max_features': None, 'min_samples_leaf': 0.050199661879728755, 'min_samples_split': 0.16980888403242034, 'min_weight_fraction_leaf': 0.051353063353046624}"
10,"{'criterion': 'gini', 'max_depth': 25, 'max_features': None, 'min_samples_leaf': 0.0001100558034633492, 'min_samples_split': 0.1462828329400375, 'min_weight_fraction_leaf': 0.055111584246696335}"
15,"{'criterion': 'gini', 'max_depth': 36, 'max_features': None, 'min_samples_leaf': 0.0894333540968744, 'min_samples_split': 0.05284977770508503, 'min_weight_fraction_leaf': 0.10272383588281164}"
20,"{'criterion': 'gini', 'max_depth': 36, 'max_features': None, 'min_samples_leaf': 0.06413585585697773, 'min_samples_split': 0.03034996621585201, 'min_weight_fraction_leaf': 0.10748717573175062}"
30,"{'criterion': 'gini', 'max_depth': 81, 'max_features': None, 'min_samples_leaf': 0.06688454546612742, 'min_samples_split': 0.14207919484448892, 'min_weight_fraction_leaf': 0.028935377594105634}"
40,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 0.09167848228771039, 'min_samples_split': 0.1484051798738929, 'min_weight_fraction_leaf': 0.0710874697590852}"
50,"{'criterion': 'gini', 'max_depth': 25, 'max_features': None, 'min_samples_leaf': 0.1272099520997138, 'min_samples_split': 0.10518543713027079, 'min_weight_fraction_leaf': 0.10150586617998746}"
