,best_params
0,"{'C': 3.346048903444868, 'l1_ratio': 0.01220223988095433, 'max_iter': 1024, 'penalty': None, 'tol': 0.011398278271416415}"
2,"{'C': 6.552418536384322, 'l1_ratio': 0.35616288828645437, 'max_iter': 512, 'penalty': 'l2', 'tol': 0.02129975507663451}"
5,"{'C': 3.886954615084303, 'l1_ratio': 0.3160574463568011, 'max_iter': 8192, 'penalty': None, 'tol': 0.03825901150144381}"
10,"{'C': 4.268895952270713, 'l1_ratio': 0.6429245814995024, 'max_iter': 512, 'penalty': None, 'tol': 0.016167762825700257}"
15,"{'C': 0.6168486310332411, 'l1_ratio': 0.16300287291983964, 'max_iter': 2048, 'penalty': None, 'tol': 0.014971722036123054}"
20,"{'C': 6.4371186505294355, 'l1_ratio': 0.2784660827787615, 'max_iter': 4096, 'penalty': None, 'tol': 0.006976930666800651}"
30,"{'C': 4.080036163461636, 'l1_ratio': 0.16213887591692455, 'max_iter': 512, 'penalty': None, 'tol': 0.002421171636711944}"
1,"{'C': 1.2938518450759626, 'l1_ratio': 0.2722218058910534, 'max_iter': 64, 'penalty': None, 'tol': 0.011574263018903644}"
3,"{'C': 3.4570275594935573, 'l1_ratio': 0.975983574694375, 'max_iter': 512, 'penalty': 'l2', 'tol': 0.016839154167460874}"
4,"{'C': 9.251257441253045, 'l1_ratio': 0.10104541076753416, 'max_iter': 16384, 'penalty': 'elasticnet', 'tol': 0.0015308051539983075}"
6,"{'C': 0.07667384778658182, 'l1_ratio': 0.48892001903617044, 'max_iter': 4096, 'penalty': None, 'tol': 0.02393628320902412}"
7,"{'C': 8.157961903086694, 'l1_ratio': 0.9959290693970617, 'max_iter': 256, 'penalty': None, 'tol': 0.030002643620682244}"
8,"{'C': 5.3785092461893305, 'l1_ratio': 0.24175608975462365, 'max_iter': 256, 'penalty': None, 'tol': 0.01794144529365237}"
9,"{'C': 0.9767421484439999, 'l1_ratio': 0.426927575349229, 'max_iter': 8192, 'penalty': None, 'tol': 0.012671613447926722}"
40,"{'C': 1.8223335304772958, 'l1_ratio': 0.2155544985023351, 'max_iter': 128, 'penalty': None, 'tol': 8.242005656565654e-05}"
50,"{'C': 0.9929601670037467, 'l1_ratio': 0.32480145704542995, 'max_iter': 512, 'penalty': None, 'tol': 0.002028282360733765}"
