,best_params
0,"{'max_depth': 10, 'max_leaf_nodes': 100, 'max_samples': 0.7153148206488793, 'min_samples_leaf': 0.0019093976398854122, 'n_estimators': 1000}"
1,"{'max_depth': 5, 'max_leaf_nodes': None, 'max_samples': 0.7246482942525291, 'min_samples_leaf': 0.012944559660391758, 'n_estimators': 500}"
2,"{'max_depth': 10, 'max_leaf_nodes': 200, 'max_samples': 0.6070465224950286, 'min_samples_leaf': 0.0017501499091709238, 'n_estimators': 400}"
3,"{'max_depth': 8, 'max_leaf_nodes': None, 'max_samples': 0.6809383040985444, 'min_samples_leaf': 0.0007921348011008301, 'n_estimators': 1200}"
4,"{'max_depth': 8, 'max_leaf_nodes': None, 'max_samples': 0.7078541443668402, 'min_samples_leaf': 0.0004580017991604546, 'n_estimators': 100}"
5,"{'max_depth': None, 'max_leaf_nodes': None, 'max_samples': 0.7851287445238818, 'min_samples_leaf': 0.0029064253887966874, 'n_estimators': 800}"
6,"{'max_depth': 8, 'max_leaf_nodes': None, 'max_samples': 0.7160585924658156, 'min_samples_leaf': 0.002240963238454231, 'n_estimators': 200}"
7,"{'max_depth': None, 'max_leaf_nodes': 200, 'max_samples': 0.7604580362480143, 'min_samples_leaf': 0.01968044350906506, 'n_estimators': 200}"
8,"{'max_depth': 8, 'max_leaf_nodes': 50, 'max_samples': 0.6601580845492165, 'min_samples_leaf': 0.018997242366398846, 'n_estimators': 200}"
9,"{'max_depth': 10, 'max_leaf_nodes': 200, 'max_samples': 0.6506354105152315, 'min_samples_leaf': 0.011091381613879058, 'n_estimators': 150}"
10,"{'max_depth': 8, 'max_leaf_nodes': None, 'max_samples': 0.7813260067045821, 'min_samples_leaf': 0.02030345773314034, 'n_estimators': 1200}"
15,"{'max_depth': 10, 'max_leaf_nodes': None, 'max_samples': 0.7297507932269214, 'min_samples_leaf': 0.0016049129454072956, 'n_estimators': 150}"
20,"{'max_depth': 10, 'max_leaf_nodes': 100, 'max_samples': 0.6001511464741582, 'min_samples_leaf': 0.0019876912932245217, 'n_estimators': 150}"
30,"{'max_depth': None, 'max_leaf_nodes': 100, 'max_samples': 0.6374820164034687, 'min_samples_leaf': 0.014722434235991781, 'n_estimators': 150}"
40,"{'max_depth': 8, 'max_leaf_nodes': 50, 'max_samples': 0.7460954301694575, 'min_samples_leaf': 0.022906568123560282, 'n_estimators': 400}"
50,"{'max_depth': None, 'max_leaf_nodes': 200, 'max_samples': 0.7403784668304209, 'min_samples_leaf': 0.023895028840544685, 'n_estimators': 400}"
