,best_params
0,"{'max_depth': 10, 'max_leaf_nodes': 100, 'max_samples': 0.7127048350614942, 'min_samples_leaf': 0.0007347195450014008, 'n_estimators': 1200}"
1,"{'max_depth': 8, 'max_leaf_nodes': 50, 'max_samples': 0.7198121330672383, 'min_samples_leaf': 0.014945954643571437, 'n_estimators': 1200}"
2,"{'max_depth': None, 'max_leaf_nodes': 50, 'max_samples': 0.7553537798942114, 'min_samples_leaf': 0.0017593872755720177, 'n_estimators': 400}"
3,"{'max_depth': None, 'max_leaf_nodes': None, 'max_samples': 0.7002439046806193, 'min_samples_leaf': 0.0003500250283292052, 'n_estimators': 50}"
4,"{'max_depth': None, 'max_leaf_nodes': None, 'max_samples': 0.6113456854172565, 'min_samples_leaf': 0.00013560095683622664, 'n_estimators': 100}"
5,"{'max_depth': 10, 'max_leaf_nodes': 200, 'max_samples': 0.7256981607470887, 'min_samples_leaf': 0.01838066829670684, 'n_estimators': 800}"
6,"{'max_depth': 8, 'max_leaf_nodes': 200, 'max_samples': 0.7462052907435823, 'min_samples_leaf': 0.000971857831877308, 'n_estimators': 150}"
7,"{'max_depth': None, 'max_leaf_nodes': 100, 'max_samples': 0.6242445146199942, 'min_samples_leaf': 0.0006424340125971753, 'n_estimators': 400}"
8,"{'max_depth': 10, 'max_leaf_nodes': 200, 'max_samples': 0.6422905894218245, 'min_samples_leaf': 0.01056367205316256, 'n_estimators': 100}"
9,"{'max_depth': 10, 'max_leaf_nodes': None, 'max_samples': 0.6518027201083486, 'min_samples_leaf': 0.0004338720230567415, 'n_estimators': 150}"
10,"{'max_depth': 8, 'max_leaf_nodes': None, 'max_samples': 0.7812701244856648, 'min_samples_leaf': 0.0007261800908443507, 'n_estimators': 150}"
15,"{'max_depth': 8, 'max_leaf_nodes': None, 'max_samples': 0.6977345592037111, 'min_samples_leaf': 0.015246849491302552, 'n_estimators': 150}"
20,"{'max_depth': None, 'max_leaf_nodes': 50, 'max_samples': 0.6510772781303225, 'min_samples_leaf': 0.003737418026100836, 'n_estimators': 200}"
30,"{'max_depth': 10, 'max_leaf_nodes': None, 'max_samples': 0.6974715507775127, 'min_samples_leaf': 0.013187943117504004, 'n_estimators': 150}"
40,"{'max_depth': 8, 'max_leaf_nodes': None, 'max_samples': 0.7722723674265536, 'min_samples_leaf': 0.017249003404689288, 'n_estimators': 100}"
50,"{'max_depth': 10, 'max_leaf_nodes': 200, 'max_samples': 0.7462488114145369, 'min_samples_leaf': 0.013920044491225247, 'n_estimators': 100}"
