,best_params
0,"{'C': 147.40101960911528, 'degree': 4, 'gamma': 'scale', 'kernel': 'linear', 'tol': 0.032348744462783297}"
1,"{'C': 90.60017807898211, 'degree': 4, 'gamma': 'scale', 'kernel': 'rbf', 'tol': 7.378814842802672e-05}"
2,"{'C': 117.92124212871212, 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf', 'tol': 7.629455079233519e-05}"
3,"{'C': 2.7748532252182674, 'degree': 2, 'gamma': 'auto', 'kernel': 'linear', 'tol': 0.0006908214882774943}"
4,"{'C': 5.669251187871323, 'degree': 4, 'gamma': 'scale', 'kernel': 'linear', 'tol': 0.0001238784928725844}"
5,"{'C': 6.588290370053819, 'degree': 2, 'gamma': 'auto', 'kernel': 'linear', 'tol': 0.0017951747340170458}"
6,"{'C': 3.4290311790983417, 'degree': 4, 'gamma': 'scale', 'kernel': 'sigmoid', 'tol': 0.002238433581550908}"
7,"{'C': 5.815909573106612, 'degree': 4, 'gamma': 'auto', 'kernel': 'linear', 'tol': 0.0003357252662322444}"
8,"{'C': 5.909413674525595, 'degree': 2, 'gamma': 'scale', 'kernel': 'sigmoid', 'tol': 0.0007514109557945684}"
9,"{'C': 4.989748336002604, 'degree': 3, 'gamma': 'auto', 'kernel': 'linear', 'tol': 0.004278126352178009}"
10,"{'C': 2.50096549408807, 'degree': 4, 'gamma': 'scale', 'kernel': 'rbf', 'tol': 0.003415595212069714}"
15,"{'C': 4.330697797865896, 'degree': 3, 'gamma': 'scale', 'kernel': 'linear', 'tol': 0.0006247744057150421}"
20,"{'C': 5.837598442432762, 'degree': 4, 'gamma': 'auto', 'kernel': 'linear', 'tol': 0.0003268024907284352}"
30,"{'C': 32.790796931885104, 'degree': 4, 'gamma': 'scale', 'kernel': 'linear', 'tol': 0.018286683191457355}"
40,"{'C': 29.930311460133872, 'degree': 4, 'gamma': 'auto', 'kernel': 'linear', 'tol': 0.0009134446646998117}"
50,"{'C': 25.51752051103997, 'degree': 4, 'gamma': 'scale', 'kernel': 'rbf', 'tol': 0.028267844998924974}"
