,best_params
0,"{'C': 17.5365956122971, 'degree': 2, 'gamma': 'scale', 'kernel': 'linear', 'tol': 0.006861732616659974}"
1,"{'C': 99.50472947355532, 'degree': 3, 'gamma': 'scale', 'kernel': 'poly', 'tol': 0.0002427462273554051}"
2,"{'C': 45.40310436626846, 'degree': 2, 'gamma': 'scale', 'kernel': 'rbf', 'tol': 0.015077832661820122}"
3,"{'C': 56.56980378351197, 'degree': 4, 'gamma': 'scale', 'kernel': 'rbf', 'tol': 0.0008102956897463506}"
4,"{'C': 125.56300909127322, 'degree': 4, 'gamma': 'scale', 'kernel': 'rbf', 'tol': 4.569822781256594e-05}"
5,"{'C': 104.8196894499217, 'degree': 2, 'gamma': 'scale', 'kernel': 'rbf', 'tol': 3.7119311520228275e-05}"
6,"{'C': 2.104612736327283, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly', 'tol': 0.0001053012096432549}"
7,"{'C': 2.715982239920301, 'degree': 2, 'gamma': 'scale', 'kernel': 'rbf', 'tol': 0.0401079757097845}"
8,"{'C': 68.6461625884557, 'degree': 4, 'gamma': 'scale', 'kernel': 'rbf', 'tol': 0.015007501314785222}"
9,"{'C': 3.587848395210898, 'degree': 2, 'gamma': 'scale', 'kernel': 'rbf', 'tol': 0.00024184945121528295}"
10,"{'C': 2.771404071529263, 'degree': 4, 'gamma': 'scale', 'kernel': 'rbf', 'tol': 8.857644584520545e-05}"
15,"{'C': 90.2936716403469, 'degree': 4, 'gamma': 'scale', 'kernel': 'linear', 'tol': 0.02973609866554396}"
20,"{'C': 147.28025105618195, 'degree': 3, 'gamma': 'auto', 'kernel': 'rbf', 'tol': 0.00813937625821983}"
30,"{'C': 3.259761174197897, 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf', 'tol': 0.009058855679204942}"
40,"{'C': 4.033534914441304, 'degree': 2, 'gamma': 'scale', 'kernel': 'rbf', 'tol': 0.0001565748473848969}"
50,"{'C': 3.2245456813553943, 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf', 'tol': 0.00023593397810749015}"
