,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,hops LR,Logistic regression,hops SVC,SVC,hops XGB,XGB,hops DT,DT,hops RF,RF
0,0,0,0,0,0,0.4912984371185303,0,0.0603950023651123,0,0.6347079277038574,0,0.0070257186889648,0,4.202701568603516
1,1,1,1,1,1,0.1388518810272216,1,0.0975599288940429,1,0.8196132183074951,1,0.0320692062377929,1,3.188272714614868
2,2,2,2,2,2,0.1167366504669189,2,0.1209998130798339,2,2.693791151046753,2,0.0604326725006103,2,0.9947683811187744
3,3,3,3,3,3,0.1396973133087158,3,0.1225223541259765,3,2.166796922683716,3,0.0992510318756103,3,0.16244840621948242
4,4,4,4,4,4,0.5531888008117676,4,0.1430940628051757,4,2.6164684295654297,4,0.1567091941833496,4,0.3127140998840332
5,5,5,5,5,5,0.1840934753417968,5,0.1626789569854736,5,1.5372860431671145,5,0.1681046485900879,5,2.2737505435943604
6,6,6,6,6,6,0.2207269668579101,6,0.1743109226226806,6,3.08672308921814,6,0.1950221061706543,6,0.5222713947296143
7,7,7,7,7,7,0.229832649230957,7,0.2012200355529785,7,3.73843002319336,7,0.2415730953216552,7,1.1788854598999023
8,8,8,8,8,8,0.2811884880065918,8,0.2163565158843994,8,4.060025930404663,8,0.2414660453796386,8,0.3700835704803467
9,9,9,9,9,9,0.3484120368957519,9,0.2411320209503173,9,3.4506144523620605,9,0.2669379711151123,9,0.5430655479431152
10,10,10,10,10,10,0.3334865570068359,10,0.2829456329345703,10,3.1796891689300537,10,0.2948698997497558,10,0.5716509819030762
11,11,11,11,11,15,0.469322919845581,15,0.3714210987091064,15,1.905561447143555,15,0.4012675285339355,15,0.7078919410705566
12,12,12,12,12,20,0.740837574005127,20,0.4811620712280273,20,4.012685060501099,20,0.5115032196044922,20,0.9002556800842285
13,13,13,13,13,30,1.4971532821655271,30,0.6992242336273193,30,3.286412477493286,30,0.732081413269043,30,1.0334525108337402
14,14,14,14,14,40,1.8646199703216555,40,0.9233911037445068,40,2.2777578830718994,40,0.9489774703979492,40,1.1060009002685547
15,15,15,15,15,50,2.04091739654541,50,1.1604857444763184,50,2.6177005767822266,50,1.1671760082244873,50,1.3170087337493896
