,best_params
0,"{'alpha': 0.7308011575148268, 'eta': 0.052876272973743074, 'max_depth': 10, 'min_child_weight': 0.4147898974717884, 'n_estimators': 800, 'reg_lambda': 0.12286377824112743, 'subsample': 0.9582025837122}"
1,"{'alpha': 0.5933912540332944, 'eta': 0.14785358905096596, 'max_depth': 10, 'min_child_weight': 0.10293263008179201, 'n_estimators': 800, 'reg_lambda': 0.8131963466941277, 'subsample': 0.7156091502173361}"
2,"{'alpha': 0.43066958704215286, 'eta': 0.11253166922937555, 'max_depth': 2, 'min_child_weight': 3.682792873939764, 'n_estimators': 200, 'reg_lambda': 0.025071195789003686, 'subsample': 0.8469898422110463}"
3,"{'alpha': 0.6693458456399647, 'eta': 0.22717366347076562, 'max_depth': 8, 'min_child_weight': 0.0010855272369004743, 'n_estimators': 150, 'reg_lambda': 0.5124231677018835, 'subsample': 0.8374707958559154}"
4,"{'alpha': 0.6872769155223777, 'eta': 0.050081547232366366, 'max_depth': 4, 'min_child_weight': 4.690815079513586, 'n_estimators': 800, 'reg_lambda': 0.706312275926964, 'subsample': 0.738364195103489}"
5,"{'alpha': 0.6253126279218331, 'eta': 0.25463109136408935, 'max_depth': 2, 'min_child_weight': 4.312257810662204, 'n_estimators': 100, 'reg_lambda': 0.6494350601129021, 'subsample': 0.8757636680228243}"
6,"{'alpha': 0.5021798248867053, 'eta': 0.213709922079909, 'max_depth': 8, 'min_child_weight': 4.050640590564153, 'n_estimators': 1200, 'reg_lambda': 0.15233336071725906, 'subsample': 0.820866282772906}"
7,"{'alpha': 0.7873304722451495, 'eta': 0.055706198409881495, 'max_depth': None, 'min_child_weight': 4.343726727173183, 'n_estimators': 200, 'reg_lambda': 0.8968547518319981, 'subsample': 0.601757600260523}"
8,"{'alpha': 0.4656845084755543, 'eta': 0.08928861372067992, 'max_depth': 5, 'min_child_weight': 4.461628332735266, 'n_estimators': 200, 'reg_lambda': 0.7983846686944742, 'subsample': 0.7829866850335976}"
9,"{'alpha': 0.3663839690115122, 'eta': 0.1634142142312948, 'max_depth': 3, 'min_child_weight': 4.638899034317562, 'n_estimators': 150, 'reg_lambda': 0.2941612611423121, 'subsample': 0.7667160643667347}"
10,"{'alpha': 0.8758781810931042, 'eta': 0.08312069009240239, 'max_depth': 5, 'min_child_weight': 3.3024874719345956, 'n_estimators': 1000, 'reg_lambda': 0.04057195817870046, 'subsample': 0.809130899388188}"
15,"{'alpha': 0.9397491367742395, 'eta': 0.09919954347974361, 'max_depth': 10, 'min_child_weight': 0.8376985769378777, 'n_estimators': 50, 'reg_lambda': 0.30474246157875345, 'subsample': 0.6003060494449622}"
20,"{'alpha': 0.28232213449554333, 'eta': 0.0739200885737355, 'max_depth': 4, 'min_child_weight': 2.811537662092127, 'n_estimators': 100, 'reg_lambda': 0.5393255385034065, 'subsample': 0.967158017626905}"
30,"{'alpha': 0.04403774723450571, 'eta': 0.07305633033022556, 'max_depth': 2, 'min_child_weight': 4.455740028357343, 'n_estimators': 500, 'reg_lambda': 0.5412396471810855, 'subsample': 0.7823492672677654}"
40,"{'alpha': 0.5513879595604656, 'eta': 0.2879267979558791, 'max_depth': 2, 'min_child_weight': 4.6963165755308545, 'n_estimators': 800, 'reg_lambda': 0.9224138861118807, 'subsample': 0.8391863685476223}"
50,"{'alpha': 0.10423115819220485, 'eta': 0.11054348648820086, 'max_depth': 4, 'min_child_weight': 4.890048606086625, 'n_estimators': 1000, 'reg_lambda': 0.17280825676858855, 'subsample': 0.831504051372247}"
