,best_params
0,"{'alpha': 0.4571739668011579, 'eta': 0.0684637455636455, 'max_depth': 10, 'min_child_weight': 1.0879291828706985, 'n_estimators': 50, 'reg_lambda': 0.9989043477517809, 'subsample': 0.7807260313867671}"
1,"{'alpha': 0.09831103468637342, 'eta': 0.4452666426221805, 'max_depth': 10, 'min_child_weight': 0.0005296727315298623, 'n_estimators': 200, 'reg_lambda': 0.7762759151220954, 'subsample': 0.8244376991222684}"
2,"{'alpha': 0.05487728942766973, 'eta': 0.13707633234036656, 'max_depth': 10, 'min_child_weight': 0.25471441997979205, 'n_estimators': 1000, 'reg_lambda': 0.0037469728466333757, 'subsample': 0.6531040139096074}"
3,"{'alpha': 0.2116187059262214, 'eta': 0.4091962218808652, 'max_depth': 4, 'min_child_weight': 0.5874901028410324, 'n_estimators': 800, 'reg_lambda': 0.7925018010617298, 'subsample': 0.6072642036741627}"
4,"{'alpha': 0.6122299597839542, 'eta': 0.11280078958803384, 'max_depth': 2, 'min_child_weight': 3.7375681667993383, 'n_estimators': 1000, 'reg_lambda': 0.884079702236227, 'subsample': 0.7745009501074763}"
5,"{'alpha': 0.3984151231274611, 'eta': 0.3164606785907744, 'max_depth': 2, 'min_child_weight': 1.5050737245385248, 'n_estimators': 500, 'reg_lambda': 0.186036993953474, 'subsample': 0.8872631274156204}"
6,"{'alpha': 0.15300389310586376, 'eta': 0.08163518680300134, 'max_depth': 3, 'min_child_weight': 3.2184633417988833, 'n_estimators': 1000, 'reg_lambda': 0.4082076728153008, 'subsample': 0.7246731317028221}"
7,"{'alpha': 0.020617068699342253, 'eta': 0.06270043133928908, 'max_depth': 5, 'min_child_weight': 2.6772587049914875, 'n_estimators': 1200, 'reg_lambda': 0.4376690014347719, 'subsample': 0.7817980329834451}"
8,"{'alpha': 0.38856012452831246, 'eta': 0.05887487137551184, 'max_depth': 5, 'min_child_weight': 2.701624551456908, 'n_estimators': 1200, 'reg_lambda': 0.6392494362860215, 'subsample': 0.7902881619391952}"
9,"{'alpha': 0.43248682414159784, 'eta': 0.04986385029770562, 'max_depth': 5, 'min_child_weight': 3.7319735921761468, 'n_estimators': 1000, 'reg_lambda': 0.7868007956099998, 'subsample': 0.7719902973310652}"
10,"{'alpha': 0.2543489556323068, 'eta': 0.1239995582921415, 'max_depth': 5, 'min_child_weight': 3.045570664277419, 'n_estimators': 1000, 'reg_lambda': 0.12835106035376365, 'subsample': 0.8789205046252596}"
15,"{'alpha': 0.5862636693323804, 'eta': 0.11689591520715853, 'max_depth': 4, 'min_child_weight': 4.819653731583977, 'n_estimators': 500, 'reg_lambda': 0.20436480110697325, 'subsample': 0.8461678279464191}"
20,"{'alpha': 0.4579531597351017, 'eta': 0.08792812910311579, 'max_depth': 4, 'min_child_weight': 3.339439474100564, 'n_estimators': 1200, 'reg_lambda': 0.02034751658901081, 'subsample': 0.7227602526853751}"
30,"{'alpha': 0.4464602513296912, 'eta': 0.08502351943049577, 'max_depth': 3, 'min_child_weight': 2.5442985554789352, 'n_estimators': 800, 'reg_lambda': 0.5329189158365044, 'subsample': 0.6805756155986507}"
40,"{'alpha': 0.9987700570626277, 'eta': 0.270680750299084, 'max_depth': 5, 'min_child_weight': 4.903993485044984, 'n_estimators': 500, 'reg_lambda': 0.6967433366235447, 'subsample': 0.600246693477039}"
50,"{'alpha': 0.5147633010901094, 'eta': 0.2489104406181145, 'max_depth': 8, 'min_child_weight': 3.1611342742516957, 'n_estimators': 500, 'reg_lambda': 0.0010274119297305762, 'subsample': 0.6754072118859293}"
